xflr5 v6.10.03

Wing name :        bennettwing600
Wing polar name :  T1-40.0 m/s-Panel
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.407553   0.004122   0.015721   0.019843  -0.000000  -0.000000  -0.091795  -0.000000   0.000000   40.0000     0.0001
   -1.500   0.451592   0.005041   0.012736   0.017777  -0.000000  -0.000000  -0.083371  -0.000000   0.000000   40.0000    -0.0205
   -1.000   0.495581   0.006052   0.011125   0.017176  -0.000000  -0.000000  -0.074962   0.000000   0.000000   40.0000    -0.0375
   -0.500   0.539516   0.007155   0.010671   0.017826  -0.000000  -0.000000  -0.066555   0.000000   0.000000   40.0000    -0.0518
    0.000   0.583391   0.008349   0.010577   0.018926  -0.000000  -0.000000  -0.058111   0.000000   0.000000   40.0000    -0.0640
    0.500   0.627199   0.009633   0.010555   0.020188  -0.000000  -0.000000  -0.049619   0.000000   0.000000   40.0000    -0.0746
    1.000   0.670935   0.011008   0.010553   0.021561  -0.000000  -0.000000  -0.041079   0.000000   0.000000   40.0000    -0.0839
    1.500   0.714594   0.012471   0.010560   0.023031  -0.000000  -0.000000  -0.032495   0.000000   0.000000   40.0000    -0.0921
    2.000   0.758169   0.014023   0.010572   0.024595  -0.000000  -0.000000  -0.023869   0.000000   0.000000   40.0000    -0.0994
    2.500   0.801656   0.015663   0.010564   0.026227  -0.000000  -0.000000  -0.015203   0.000000   0.000000   40.0000    -0.1060
    3.000   0.845047   0.017388   0.010547   0.027935  -0.000000  -0.000000  -0.006500   0.000000   0.000000   40.0000    -0.1119
    3.500   0.888339   0.019199   0.010540   0.029740  -0.000000  -0.000000   0.002237   0.000000   0.000000   40.0000    -0.1174
    4.000   0.931525   0.021095   0.010556   0.031651  -0.000000  -0.000000   0.011005   0.000000   0.000000   40.0000    -0.1224
    4.500   0.974600   0.023073   0.010579   0.033652  -0.000000  -0.000000   0.019802   0.000000   0.000000   40.0000    -0.1270
    5.000   1.017558   0.025133   0.010609   0.035742  -0.000000  -0.000000   0.028626   0.000000   0.000000   40.0000    -0.1312
    5.500   1.060394   0.027274   0.010662   0.037936  -0.000000  -0.000000   0.037474   0.000000   0.000000   40.0000    -0.1352
    6.000   1.103102   0.029495   0.010809   0.040303  -0.000000  -0.000000   0.046341   0.000000   0.000000   40.0000    -0.1389
    6.500   1.145678   0.031792   0.011051   0.042843  -0.000000  -0.000000   0.055225   0.000000   0.000000   40.0000    -0.1424
    7.000   1.188115   0.034167   0.011367   0.045534  -0.000000  -0.000000   0.064124   0.000000   0.000000   40.0000    -0.1457
    7.500   1.230409   0.036616   0.011721   0.048337  -0.000000  -0.000000   0.073036   0.000000   0.000000   40.0000    -0.1488
    8.000   1.272554   0.039138   0.012096   0.051234  -0.000000  -0.000000   0.081957   0.000000   0.000000   40.0000    -0.1517


