xflr5 v6.10.03

Wing name :        bennettwing800
Wing polar name :  T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.326293   0.002808   0.024575   0.027383  -0.000000  -0.000000  -0.091096   0.000000   0.000000   20.0000    -0.0339
   -1.500   0.370727   0.003580   0.022015   0.025595  -0.000000   0.000000  -0.082012   0.000000   0.000000   20.0000    -0.0625
   -1.000   0.415104   0.004448   0.019348   0.023796  -0.000000   0.000000  -0.072911  -0.000000   0.000000   20.0000    -0.0850
   -0.500   0.459416   0.005411   0.016469   0.021880  -0.000000  -0.000000  -0.063786  -0.000000   0.000000   20.0000    -0.1032
    0.000   0.503655   0.006468   0.014483   0.020951  -0.000000  -0.000000  -0.054689   0.000000  -0.000000   20.0000    -0.1181
    0.500   0.547812   0.007619   0.013927   0.021546  -0.000000   0.000000  -0.045640   0.000000   0.000000   20.0000    -0.1307
    1.000   0.591879   0.008864   0.013733   0.022597  -0.000000  -0.000000  -0.036593   0.000000   0.000000   20.0000    -0.1414
    1.500   0.635847   0.010200   0.013600   0.023801  -0.000000  -0.000000  -0.027541  -0.000000  -0.000000   20.0000    -0.1507
    2.000   0.679709   0.011629   0.013451   0.025080  -0.000000  -0.000000  -0.018483  -0.000000   0.000000   20.0000    -0.1587
    2.500   0.723456   0.013147   0.013412   0.026560  -0.000000  -0.000000  -0.009424   0.000000   0.000000   20.0000    -0.1658
    3.000   0.767081   0.014756   0.013264   0.028020  -0.000000  -0.000000  -0.000360  -0.000000  -0.000000   20.0000    -0.1721
    3.500   0.810574   0.016453   0.013065   0.029519  -0.000000  -0.000000   0.008704   0.000000   0.000000   20.0000    -0.1777
    4.000   0.853929   0.018238   0.012933   0.031171   0.000000  -0.000000   0.017764   0.000000   0.000000   20.0000    -0.1828
    4.500   0.897137   0.020109   0.012807   0.032916  -0.000000   0.000000   0.026819   0.000000  -0.000000   20.0000    -0.1874
    5.000   0.940191   0.022065   0.012694   0.034759   0.000000  -0.000000   0.035866   0.000000   0.000000   20.0000    -0.1916
    5.500   0.983082   0.024105   0.012626   0.036731  -0.000000  -0.000000   0.044902  -0.000000  -0.000000   20.0000    -0.1955
    6.000   1.025803   0.026228   0.012613   0.038840  -0.000000  -0.000000   0.053923  -0.000000  -0.000000   20.0000    -0.1990
    6.500   1.068346   0.028431   0.012621   0.041052  -0.000000   0.000000   0.062929  -0.000000  -0.000000   20.0000    -0.2023
    7.000   1.110704   0.030714   0.012668   0.043382  -0.000000  -0.000000   0.071917  -0.000000  -0.000000   20.0000    -0.2054
    7.500   1.152869   0.033075   0.012764   0.045839  -0.000000  -0.000000   0.080883  -0.000000  -0.000000   20.0000    -0.2082
    8.000   1.194834   0.035512   0.012951   0.048463   0.000000  -0.000000   0.089826   0.000000   0.000000   20.0000    -0.2109


