xflr5 v6.10.03

Wing name :        bennettwingbase
Wing polar name :  T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.337721   0.002808   0.023735   0.026543   0.000000  -0.000000  -0.152619  -0.000000  -0.000000   20.0000     0.2781
   -1.500   0.383208   0.003597   0.021217   0.024814   0.000000  -0.000000  -0.151641  -0.000000  -0.000000   20.0000     0.2503
   -1.000   0.428642   0.004484   0.018516   0.023000   0.000000  -0.000000  -0.150622  -0.000000  -0.000000   20.0000     0.2284
   -0.500   0.474014   0.005469   0.015792   0.021261   0.000000  -0.000000  -0.149571  -0.000000   0.000000   20.0000     0.2107
    0.000   0.519315   0.006550   0.014485   0.021035   0.000000  -0.000000  -0.148556   0.000000   0.000000   20.0000     0.1961
    0.500   0.564537   0.007728   0.014026   0.021754   0.000000  -0.000000  -0.147548   0.000000   0.000000   20.0000     0.1838
    1.000   0.609672   0.009002   0.013717   0.022719   0.000000  -0.000000  -0.146514  -0.000000   0.000000   20.0000     0.1734
    1.500   0.654710   0.010371   0.013481   0.023852   0.000000  -0.000000  -0.145452  -0.000000   0.000000   20.0000     0.1644
    2.000   0.699643   0.011834   0.013365   0.025198   0.000000  -0.000000  -0.144365   0.000000   0.000000   20.0000     0.1566
    2.500   0.744464   0.013390   0.013270   0.026660   0.000000  -0.000000  -0.143249  -0.000000   0.000000   20.0000     0.1498
    3.000   0.789163   0.015039   0.013060   0.028098   0.000000  -0.000000  -0.142097  -0.000000   0.000000   20.0000     0.1437
    3.500   0.833733   0.016779   0.012931   0.029710   0.000000  -0.000000  -0.140920  -0.000000   0.000000   20.0000     0.1383
    4.000   0.878165   0.018610   0.012810   0.031419   0.000000  -0.000000  -0.139714  -0.000000   0.000000   20.0000     0.1335
    4.500   0.922451   0.020529   0.012702   0.033231   0.000000  -0.000000  -0.138481  -0.000000   0.000000   20.0000     0.1291
    5.000   0.966583   0.022537   0.012637   0.035174   0.000000  -0.000000  -0.137220   0.000000   0.000000   20.0000     0.1252
    5.500   1.010554   0.024632   0.012610   0.037242   0.000000  -0.000000  -0.135934   0.000000   0.000000   20.0000     0.1216
    6.000   1.054354   0.026812   0.012614   0.039426   0.000000  -0.000000  -0.134621   0.000000   0.000000   20.0000     0.1183
    6.500   1.097976   0.029076   0.012658   0.041734   0.000000  -0.000000  -0.133283   0.000000   0.000000   20.0000     0.1153
    7.000   1.141412   0.031422   0.012758   0.044181   0.000000  -0.000000  -0.131921   0.000000   0.000000   20.0000     0.1125
    7.500   1.184656   0.033850   0.012970   0.046820   0.000000  -0.000000  -0.130537   0.000000   0.000000   20.0000     0.1099
    8.000   1.227698   0.036357   0.013292   0.049648   0.000000  -0.000000  -0.129131   0.000000   0.000000   20.0000     0.1076


