xflr5 v6.10.03

Wing name :        bennettwingbase
Wing polar name :  T1-40.0 m/s-Panel
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.417661   0.004237   0.014894   0.019131   0.000000   0.000000  -0.150158  -0.000000  -0.000000   40.0000     0.2293
   -1.500   0.462306   0.005176   0.012318   0.017494   0.000000   0.000000  -0.148081  -0.000000  -0.000000   40.0000     0.2104
   -1.000   0.506901   0.006208   0.011048   0.017256   0.000000   0.000000  -0.146012  -0.000000  -0.000000   40.0000     0.1947
   -0.500   0.551441   0.007334   0.010685   0.018019   0.000000   0.000000  -0.143931  -0.000000  -0.000000   40.0000     0.1816
    0.000   0.595918   0.008551   0.010643   0.019194   0.000000   0.000000  -0.141814  -0.000000  -0.000000   40.0000     0.1704
    0.500   0.640328   0.009861   0.010626   0.020486   0.000000   0.000000  -0.139645  -0.000000  -0.000000   40.0000     0.1607
    1.000   0.684665   0.011262   0.010606   0.021868   0.000000   0.000000  -0.137426  -0.000000  -0.000000   40.0000     0.1523
    1.500   0.728922   0.012753   0.010580   0.023333   0.000000   0.000000  -0.135156  -0.000000  -0.000000   40.0000     0.1448
    2.000   0.773095   0.014333   0.010557   0.024890   0.000000   0.000000  -0.132836  -0.000000  -0.000000   40.0000     0.1382
    2.500   0.817177   0.016002   0.010533   0.026535   0.000000   0.000000  -0.130468  -0.000000  -0.000000   40.0000     0.1323
    3.000   0.861162   0.017759   0.010520   0.028279   0.000000   0.000000  -0.128052  -0.000000  -0.000000   40.0000     0.1270
    3.500   0.905046   0.019602   0.010533   0.030134   0.000000   0.000000  -0.125591  -0.000000  -0.000000   40.0000     0.1221
    4.000   0.948822   0.021530   0.010557   0.032087   0.000000   0.000000  -0.123083  -0.000000  -0.000000   40.0000     0.1177
    4.500   0.992484   0.023543   0.010584   0.034127   0.000000   0.000000  -0.120530  -0.000000  -0.000000   40.0000     0.1136
    5.000   1.036028   0.025639   0.010631   0.036269   0.000000   0.000000  -0.117933  -0.000000  -0.000000   40.0000     0.1098
    5.500   1.079448   0.027816   0.010752   0.038567   0.000000   0.000000  -0.115294  -0.000000  -0.000000   40.0000     0.1064
    6.000   1.122738   0.030073   0.010962   0.041035   0.000000   0.000000  -0.112616  -0.000000  -0.000000   40.0000     0.1031
    6.500   1.165893   0.032410   0.011244   0.043654   0.000000   0.000000  -0.109898  -0.000000  -0.000000   40.0000     0.1001
    7.000   1.208907   0.034823   0.011562   0.046385   0.000000   0.000000  -0.107141  -0.000000  -0.000000   40.0000     0.0973
    7.500   1.251775   0.037312   0.011904   0.049216   0.000000   0.000000  -0.104345  -0.000000  -0.000000   40.0000     0.0946
    8.000   1.294492   0.039876   0.012259   0.052135   0.000000   0.000000  -0.101510  -0.000000  -0.000000   40.0000     0.0921


